respondent_id,age_group,gender,nps,satisfaction,channel,free_text,submitted_at
R2025-000001,40대,남성,2,1,오프라인 매장,모바일 화면에서 버튼 위치가 조금 헷갈렸습니다.,2025-03-01 09:35:00
R2025-000002,30대,남성,9,4,인스타그램,주문 변경이 바로 반영돼서 편리했습니다.,2025-03-01 12:27:00
R2025-000003,50대,여성,8,4,네이버 검색,첫 화면에 정보가 많아서 조금 복잡하게 느껴졌습니다.,2025-03-01 16:23:00
R2025-000004,40대,여성,8,4,오프라인 매장,배송 안내 문자가 제때 와서 안심이 됐습니다.,2025-03-01 17:00:00
R2025-000005,20대,남성,1,2,네이버 검색,상담원이 상황을 잘 이해하고 해결책을 안내했습니다.,2025-03-01 17:13:00
R2025-000006,60대 이상,여성,9,4,오프라인 매장,모바일 화면에서 버튼 위치가 조금 헷갈렸습니다.,2025-03-01 19:54:00
R2025-000007,40대,남성,9,4,인스타그램,상품 비교 기능이 있으면 더 좋겠습니다.,2025-03-01 19:56:00
R2025-000008,50대,여성,4,3,네이버 검색,문의 유형을 고르는 단계가 많아서 시간이 걸렸습니다.,2025-03-01 20:33:00
R2025-000009,20대,여성,8,4,네이버 검색,주소 입력 화면에서 자동완성이 잘 작동했습니다.,2025-03-01 20:38:00
R2025-000010,30대,남성,6,3,오프라인 매장,매장 픽업 시간이 정확하게 안내됐습니다.,2025-03-01 21:31:00
R2025-000011,30대,여성,9,4,카카오톡 채널,교환 신청 화면이 간단해서 부담이 없었습니다.,2025-03-02 00:12:00
R2025-000012,50대,여성,7,4,이메일,품절 대체 안내가 빨라서 불편이 적었습니다.,2025-03-02 00:22:00
R2025-000013,40대,남성,10,5,오프라인 매장,오프라인 매장에서 안내받은 내용과 앱 정보가 일치했습니다.,2025-03-02 02:53:00
R2025-000014,50대,남성,4,2,지인 추천,회원 등급 설명이 한눈에 들어오지 않았습니다.,2025-03-02 07:10:00
R2025-000015,30대,남성,1,2,네이버 검색,상담원이 상황을 잘 이해하고 해결책을 안내했습니다.,2025-03-02 08:33:00
R2025-000016,20대,여성,7,3,지인 추천,처음 이용했는데 가입 절차가 어렵지 않았습니다.,2025-03-02 08:46:00
R2025-000017,40대,여성,9,4,앱 푸시,주문 변경이 바로 반영돼서 편리했습니다.,2025-03-02 09:14:00
R2025-000018,20대,남성,5,3,네이버 검색,앱에서 필요한 정보를 찾기 쉬워서 만족합니다.,2025-03-02 10:26:00
R2025-000019,50대,여성,7,4,카카오톡 채널,추천 상품이 제 관심사와 잘 맞았습니다.,2025-03-02 10:39:00
R2025-000020,40대,여성,6,3,네이버 검색,매장 픽업 시간이 정확하게 안내됐습니다.,2025-03-02 11:04:00
R2025-000021,40대,여성,5,2,카카오톡 채널,결제 단계가 단순해서 다시 이용할 것 같습니다.,2025-03-02 15:53:00
R2025-000022,30대,남성,9,4,오프라인 매장,추천 상품이 제 관심사와 잘 맞았습니다.,2025-03-02 16:43:00
R2025-000023,60대 이상,남성,10,5,인스타그램,필요한 메뉴가 눈에 잘 들어와서 사용하기 편했습니다.,2025-03-02 19:29:00
R2025-000024,50대,남성,9,5,인스타그램,매장 픽업 시간이 정확하게 안내됐습니다.,2025-03-02 19:42:00
R2025-000025,40대,남성,8,4,카카오톡 채널,회원 혜택이 명확해서 계속 이용할 생각입니다.,2025-03-02 20:02:00
R2025-000026,20대,여성,9,4,네이버 검색,상품 설명과 실제 구성이 거의 같아서 신뢰가 갔습니다.,2025-03-02 21:09:00
R2025-000027,30대,여성,9,4,네이버 검색,처음 이용했는데 가입 절차가 어렵지 않았습니다.,2025-03-03 01:21:00
R2025-000028,10대,여성,9,4,이메일,필요한 메뉴가 눈에 잘 들어와서 사용하기 편했습니다.,2025-03-03 07:50:00
R2025-000029,20대,여성,6,3,인스타그램,배송 예정일이 실제와 달라 일정 조정이 필요했습니다.,2025-03-03 10:54:00
R2025-000030,40대,여성,8,4,카카오톡 채널,검색 필터가 세분화되어 원하는 상품을 빨리 찾았습니다.,2025-03-03 12:12:00
R2025-000031,40대,여성,8,5,오프라인 매장,상담 기록이 남아 있어서 같은 설명을 반복하지 않아도 됐습니다.,2025-03-03 14:14:00
R2025-000032,60대 이상,여성,6,3,네이버 검색,모바일 화면에서 버튼 위치가 조금 헷갈렸습니다.,2025-03-03 14:40:00
R2025-000033,30대,남성,9,4,네이버 검색,배송 기사님 요청사항 반영이 잘 됐습니다.,2025-03-03 17:01:00
R2025-000034,30대,남성,9,4,네이버 검색,배송 안내 문자가 제때 와서 안심이 됐습니다.,2025-03-03 17:23:00
R2025-000035,30대,여성,10,4,앱 푸시,오프라인 매장에서 안내받은 내용과 앱 정보가 일치했습니다.,2025-03-03 18:29:00
R2025-000036,20대,여성,3,2,지인 추천,상세 페이지 사진이 충분해서 구매 결정에 도움이 됐습니다.,2025-03-03 19:47:00
R2025-000037,20대,남성,8,4,인스타그램,검색 결과가 원하는 순서로 나오지 않아 불편했습니다.,2025-03-03 20:46:00
R2025-000038,30대,남성,10,5,네이버 검색,회원 등급 설명이 한눈에 들어오지 않았습니다.,2025-03-03 22:56:00
R2025-000039,20대,남성,6,3,네이버 검색,상담 기록이 남아 있어서 같은 설명을 반복하지 않아도 됐습니다.,2025-03-03 23:48:00
R2025-000040,40대,여성,3,3,지인 추천,배송 완료 사진이 남아 있어 확인이 쉬웠습니다.,2025-03-04 01:07:00
R2025-000041,30대,남성,2,2,카카오톡 채널,환불 절차가 예상보다 오래 걸렸습니다.,2025-03-04 03:10:00
R2025-000042,50대,여성,3,1,앱 푸시,상담원이 상황을 잘 이해하고 해결책을 안내했습니다.,2025-03-04 05:14:00
R2025-000043,40대,여성,9,5,오프라인 매장,포인트 적립 내역이 바로 보여서 만족했습니다.,2025-03-04 06:12:00
R2025-000044,30대,여성,7,4,카카오톡 채널,고객센터 답변이 정중했지만 해결까지 시간이 걸렸습니다.,2025-03-04 09:16:00
R2025-000045,50대,여성,3,3,오프라인 매장,모바일 화면에서 버튼 위치가 조금 헷갈렸습니다.,2025-03-04 09:38:00
R2025-000046,50대,여성,5,3,앱 푸시,앱에서 필요한 정보를 찾기 쉬워서 만족합니다.,2025-03-04 10:43:00
R2025-000047,30대,여성,9,5,인스타그램,이전 구매 내역을 기준으로 다시 주문하기 편했습니다.,2025-03-04 14:04:00
R2025-000048,30대,남성,4,3,지인 추천,할인 금액이 결제 전 명확하게 보여서 좋았습니다.,2025-03-04 14:08:00
R2025-000049,40대,여성,9,4,이메일,이벤트 안내가 실제 구매에 도움이 됐습니다.,2025-03-04 14:55:00
R2025-000050,20대,여성,4,3,네이버 검색,기존 고객에게도 혜택이 더 있으면 좋겠습니다.,2025-03-04 22:04:00
R2025-000051,20대,여성,2,2,이메일,고객센터 연결까지 대기 시간이 길었습니다.,2025-03-04 22:29:00
R2025-000052,10대,여성,7,4,네이버 검색,신규 고객용 안내가 조금 더 자세했으면 합니다.,2025-03-04 22:30:00
R2025-000053,50대,여성,3,1,지인 추천,이전 구매 내역을 기준으로 다시 주문하기 편했습니다.,2025-03-05 01:48:00
R2025-000054,40대,여성,7,4,오프라인 매장,배송 완료 사진이 남아 있어 확인이 쉬웠습니다.,2025-03-05 03:32:00
R2025-000055,40대,여성,6,3,인스타그램,기존 고객에게도 혜택이 더 있으면 좋겠습니다.,2025-03-05 04:52:00
R2025-000056,50대,남성,9,4,인스타그램,상세 페이지 사진이 충분해서 구매 결정에 도움이 됐습니다.,2025-03-05 09:12:00
R2025-000057,30대,남성,10,4,인스타그램,문의 남긴 뒤 안내가 조금 늦어서 아쉬웠습니다.,2025-03-05 09:34:00
R2025-000058,40대,여성,9,4,네이버 검색,문의 남긴 뒤 안내가 조금 늦어서 아쉬웠습니다.,2025-03-05 10:14:00
R2025-000059,20대,남성,0,1,네이버 검색,배송 기사님 요청사항 반영이 잘 됐습니다.,2025-03-05 11:20:00
R2025-000060,20대,남성,8,4,네이버 검색,교환 신청 화면이 간단해서 부담이 없었습니다.,2025-03-05 11:27:00
R2025-000061,40대,응답하지 않음,9,5,인스타그램,쿠폰 적용 방법이 더 잘 보이면 좋겠습니다.,2025-03-05 11:40:00
R2025-000062,30대,남성,3,3,카카오톡 채널,배송 기사님 요청사항 반영이 잘 됐습니다.,2025-03-05 15:06:00
R2025-000063,40대,남성,7,3,네이버 검색,결제 오류 안내가 구체적이지 않아 재시도했습니다.,2025-03-05 15:34:00
R2025-000064,40대,남성,10,5,이메일,배송 안내 문자가 제때 와서 안심이 됐습니다.,2025-03-05 15:44:00
